"";"Observation.No";"Observed.y";"Predicted.y"
"1764";228;0;1
"3046";1316;1;1
"1962";246;0;1
"5";2124;1;1
"954";1777;0;1
"863";1551;1;1
"1424";1838;1;1
"2455";2083;0;1
"1210";2007;1;1
"1874";1923;1;1
"2893";1598;0;1
"398";1375;0;1
"305";454;1;1
"257";957;0;1
"2588";1733;0;1
"1231";46;1;1
"1681";6;0;1
"2459";2329;0;1
"2163";1420;1;1
"1118";217;0;1
"1622";848;0;1
"309";186;0;1
"904";13;0;1
"1791";353;0;1
"300";90;1;1
"736";669;0;1
"3100";375;1;1
"1369";26;0;1
"278";1480;1;1
"815";1869;0;1
"1738";1999;1;1
"681";1197;1;1
"2704";1737;1;1
"2661";2373;0;1
"125";1221;1;1
"55";698;0;1
"998";165;0;1
"1395";629;1;1
"2178";1446;0;1
"2624";453;0;1
"469";237;0;1
"2965";372;1;1
"760";1416;1;1
"298";89;0;1
"684";1808;1;1
"2062";823;0;1
"2527";415;1;1
"1265";1995;1;1
"2177";1764;0;1
"1645";2286;1;1
"1840";2255;0;1
"1968";788;0;1
"677";130;0;1
"971";1812;1;1
"2136";176;0;1
"3137";767;1;1
"104";981;1;1
"186";41;1;1
"429";1262;0;1
"261";2419;0;1
"212";2008;1;1
"1926";1927;0;1
"372";2016;0;1
"1290";867;1;1
"1824";1498;1;1
"813";333;1;1
"271";144;1;1
"121";1219;1;1
"615";329;1;1
"2877";2321;0;1
"83";395;1;1
"2760";432;0;1
"311";2282;1;1
"456";535;0;1
"2297";583;0;1
"238";589;1;1
"1130";1709;0;1
"2618";416;1;1
"539";1757;1;1
"1595";683;0;1
"3085";1938;1;1
"2380";1450;0;1
"2498";1591;1;1
"782";1269;1;1
"273";146;0;1
"14";2166;1;1
"2822";368;1;1
"448";71;1;1
"1362";20;0;1
"274";1048;1;1
"3122";919;1;1
"1337";1876;0;1
"1732";350;0;1
"2869";2063;0;1
"1196";2104;1;1
"1132";1711;0;1
"857";441;0;1
"2875";1409;1;1
"2720";763;1;1
"2487";948;0;1
"68";392;1;1
"185";40;0;1
"584";959;0;1
"1945";1396;1;1
"430";1572;0;1
"2482";1144;1;1
"610";1740;0;1
"1477";1428;0;1
"411";1697;0;1
"2805";124;1;1
"1908";48;1;1
"145";2294;0;1
"2156";413;1;1
"828";2099;1;1
"702";2230;0;1
"2534";791;0;1
"1473";1390;0;1
"1888";2040;0;1
"1386";2182;0;1
"2775";1465;0;1
"37";2398;1;1
"1630";1639;1;1
"1049";406;1;1
"1633";1878;0;1
"1116";1683;0;1
"2262";2160;1;1
"1541";1580;0;1
"472";1986;1;1
"544";72;0;1
"86";396;0;1
"1027";1871;0;1
"107";983;0;1
"26";388;1;1
"160";988;1;1
"142";2293;0;1
"45";1325;0;1
"1648";738;0;1
"2282";54;0;1
"1577";2033;0;1
"3139";202;0;1
"268";324;1;1
"2298";1564;0;1
"134";2418;1;1
"2814";2054;0;1
"1646";1857;0;1
"2753";602;0;1
"1768";487;1;1
"2436";2354;0;1
"2081";1928;0;1
"1604";1434;0;1
"3094";2279;0;1
"1748";502;1;1
"1685";2250;0;1
"1446";706;1;1
"1873";1922;0;1
"1774";1067;0;1
"114";1113;1;1
"1001";570;1;1
"1793";135;0;1
"2995";2217;0;1
"1789";352;0;1
"3092";1799;0;1
"2615";1145;0;1
"1367";24;1;1
"776";1169;1;1
